feature,importance
word_svd_178,0.0013466985
char_svd_50,0.0013458797
word_svd_56,0.0013444683
word_svd_40,0.0013439447
char_svd_9,0.0013418366
char_svd_51,0.0013359744
char_svd_86,0.0013315211
char_svd_16,0.0013299607
word_svd_46,0.0013278575
char_svd_38,0.0013265469
char_svd_27,0.0013265355
word_svd_192,0.0013233304
word_svd_8,0.0013212886
word_svd_152,0.0013179224
word_svd_120,0.0013175766
word_svd_70,0.0013101597
char_svd_70,0.0013087338
word_svd_43,0.0013084223
char_svd_69,0.001306978
char_svd_80,0.001303401
median_word_len,0.0013032318
word_svd_182,0.0013024143
word_svd_60,0.0012998278
word_svd_168,0.001298378
word_svd_80,0.0012964186
char_svd_20,0.0012956202
word_svd_50,0.0012918392
char_svd_115,0.001291373
word_svd_66,0.0012908303
char_svd_91,0.0012883936
char_svd_140,0.001286319
char_svd_83,0.0012838661
char_svd_114,0.0012819766
char_svd_130,0.0012800687
char_svd_28,0.0012767306
char_svd_65,0.0012754484
char_svd_60,0.0012747
num_quotes,0.0012733049
char_svd_43,0.0012722085
char_svd_62,0.0012708596
word_svd_121,0.0012697865
word_svd_94,0.0012694383
word_svd_51,0.001268827
word_svd_155,0.0012671258
char_svd_108,0.0012628939
char_svd_127,0.0012619992
word_svd_73,0.0012604808
char_svd_147,0.0012601134
char_svd_23,0.0012590984
word_svd_38,0.0012584381
word_svd_164,0.0012577438
char_svd_26,0.0012566962
word_svd_112,0.0012563963
num_long_tokens_raw,0.0012542129
word_svd_144,0.0012515268
char_svd_30,0.001251347
word_svd_97,0.0012507073
word_svd_84,0.0012498484
word_svd_195,0.0012489228
char_svd_24,0.0012462247
word_svd_117,0.0012461526
word_svd_90,0.0012456639
char_svd_37,0.0012423107
word_svd_71,0.0012421312
word_svd_146,0.0012419679
word_svd_170,0.0012414136
word_svd_167,0.0012411353
word_svd_105,0.001240301
word_svd_65,0.0012400838
word_svd_129,0.0012398872
word_svd_107,0.001239304
word_svd_186,0.0012378516
char_svd_122,0.0012351194
word_svd_85,0.0012330433
char_svd_90,0.0012330235
word_svd_63,0.0012326516
word_svd_124,0.0012289189
char_svd_61,0.0012266894
word_svd_161,0.0012242673
char_svd_48,0.0012241942
word_svd_20,0.0012238026
word_svd_163,0.0012204889
word_svd_88,0.0012199298
word_svd_158,0.0012120451
char_svd_133,0.0012120446
word_svd_125,0.001212021
char_svd_142,0.0012119312
char_svd_68,0.001208171
char_svd_141,0.0012076264
word_svd_126,0.0012075406
char_svd_120,0.0012065702
char_svd_19,0.0012054668
word_svd_133,0.0012050093
word_svd_92,0.0012034252
char_svd_75,0.0012033215
avg_word_len,0.0012025413
word_svd_138,0.0012014039
word_svd_23,0.0012010401
char_svd_129,0.0012003599
char_svd_106,0.001198803
word_svd_172,0.0011981799
char_svd_92,0.0011979495
word_svd_193,0.0011966816
word_svd_110,0.0011965634
char_svd_99,0.0011964976
char_svd_88,0.0011964872
word_svd_45,0.001195759
word_svd_176,0.0011948512
char_svd_138,0.0011947196
word_svd_142,0.0011944501
word_svd_147,0.0011927687
char_svd_148,0.0011915651
uppercase_ratio,0.0011914503
word_svd_199,0.0011914473
char_svd_98,0.0011902265
word_svd_187,0.0011892703
word_svd_149,0.0011889325
word_svd_79,0.0011888584
char_svd_42,0.0011886287
word_svd_137,0.0011878168
word_svd_175,0.0011871665
word_svd_185,0.0011845207
num_long_words,0.0011833814
char_svd_40,0.0011833182
num_commas,0.0011817359
word_svd_162,0.0011795968
char_svd_117,0.0011780625
word_svd_123,0.0011780142
char_svd_53,0.0011763491
word_svd_96,0.0011749282
word_svd_150,0.0011746344
word_svd_68,0.0011745085
char_svd_22,0.0011742879
word_svd_145,0.0011734369
word_svd_95,0.0011733754
char_svd_94,0.0011726276
char_svd_132,0.0011719267
char_svd_46,0.0011716706
char_svd_63,0.0011713938
char_svd_77,0.0011711998
word_svd_69,0.0011711057
word_svd_148,0.0011709506
word_svd_102,0.0011707483
word_svd_174,0.0011693685
word_svd_197,0.0011693432
word_svd_188,0.0011691258
class_-1_top_unique_match_count,0.0011682373
char_svd_137,0.0011681869
char_svd_116,0.0011677798
word_svd_44,0.0011674215
word_svd_87,0.0011664988
char_svd_124,0.0011652339
has_strong_negative_phrase,0.00116437
word_svd_160,0.0011641814
word_svd_108,0.0011617255
has_bad_quality,0.0011615831
char_svd_85,0.0011614033
word_svd_143,0.0011594606
word_svd_151,0.0011592564
char_svd_125,0.0011582436
char_svd_107,0.001157811
char_svd_96,0.0011574117
word_svd_181,0.0011564788
word_svd_83,0.0011558982
word_svd_135,0.001155631
char_svd_72,0.0011545264
char_svd_110,0.0011542179
word_svd_156,0.0011539601
word_svd_109,0.0011537536
char_svd_87,0.0011533735
word_svd_89,0.0011532097
char_svd_139,0.0011519743
char_svd_101,0.0011517749
word_svd_191,0.0011511007
char_svd_103,0.0011504022
char_svd_146,0.0011503599
word_svd_177,0.0011502681
word_svd_141,0.0011445878
word_svd_128,0.0011440945
word_svd_116,0.001143792
char_svd_97,0.0011435584
word_svd_194,0.001142642
word_svd_130,0.001142238
char_svd_131,0.0011411253
word_svd_169,0.0011399332
char_svd_128,0.001139888
word_svd_99,0.0011397728
char_svd_143,0.0011392614
word_svd_91,0.0011378013
char_svd_93,0.0011371042
num_dots,0.0011367906
word_svd_104,0.0011359915
char_svd_79,0.0011359358
word_svd_132,0.0011329493
word_svd_198,0.0011318667
char_svd_135,0.0011316028
char_svd_126,0.0011312773
word_svd_189,0.0011310541
num_colons,0.0011304115
word_svd_118,0.0011302466
word_svd_173,0.0011299449
word_svd_113,0.0011299419
word_svd_154,0.0011273805
space_ratio,0.0011238864
char_svd_112,0.0011180767
avg_punct_per_sentence,0.0011174269
char_svd_134,0.0011168052
char_svd_149,0.0011167034
word_svd_100,0.0011140716
word_svd_183,0.0011133654
char_svd_119,0.0011113946
char_svd_121,0.001110764
char_svd_36,0.0011098224
word_svd_140,0.0011072851
word_svd_111,0.0011072248
char_svd_104,0.0011067373
char_svd_71,0.0011060521
char_svd_95,0.0011055021
char_svd_105,0.0011043705
word_svd_86,0.0010989337
char_svd_78,0.0010974123
char_svd_89,0.0010957997
word_svd_134,0.0010923239
word_svd_114,0.0010908464
word_svd_171,0.0010875624
word_svd_103,0.0010839235
word_svd_180,0.0010742245
char_svd_123,0.0010740778
char_svd_144,0.0010629884
word_svd_106,0.0010591435
char_svd_74,0.0010491398
num_newlines,0.0010466109
num_empty_like_fragments,0.00085282576
num_semicolons,0.0
has_many_questions,0.0
class_-1_has_top_word,0.0
