feature,importance
pos_neg_top_diff,6.187162757409314
word_svd_3,4.432430875255866
num_negations,3.285811345504794
char_svd_4,2.9202565668686726
char_svd_1,2.667620364488821
char_svd_8,2.3430895136403356
word_svd_22,1.9389151728423502
word_svd_6,1.8285660872955878
word_svd_1,1.5284928295756328
sentiment_lexicon_diff,1.244133745546626
char_svd_5,1.0828482974981457
word_svd_5,1.0810296369898453
char_svd_34,0.9672266326428812
word_svd_30,0.9059627975499269
char_svd_2,0.8763864417449168
char_svd_35,0.8223450414435234
char_svd_33,0.7894956087226539
char_svd_15,0.7876503923855571
word_svd_35,0.7851419391245147
has_not_recommend,0.7784285875965915
word_svd_78,0.7452012118641012
num_chars,0.7079709012456489
word_svd_25,0.676079831886631
word_svd_36,0.6565105696096438
char_svd_25,0.644918277874177
digit_ratio,0.634517879094896
word_svd_2,0.6342094588815337
word_svd_190,0.6313973982421174
char_svd_109,0.6122190526849772
word_svd_31,0.6033363146166493
word_svd_17,0.5878143531894116
lexicon_balance_ratio,0.5743904859106591
punct_per_word,0.5719459724094946
char_svd_14,0.5538413410288253
char_svd_12,0.5318887014346816
has_mismatch,0.5299378639788481
unique_ratio,0.522819156898065
word_svd_101,0.509569459170841
char_svd_56,0.5024856350510492
word_svd_37,0.49662148681816626
word_svd_196,0.49013202030631026
char_svd_52,0.4703071171978916
char_svd_54,0.46597979418680296
class_1_top_match_ratio,0.46545730147549036
pos_words_per_word,0.46101982247723783
word_svd_34,0.45204131027821853
char_svd_7,0.4456873217678522
exclaims_per_word,0.44390594012178114
word_svd_122,0.4222308511938605
word_svd_67,0.41738443895568944
word_svd_53,0.40837976484695393
char_svd_21,0.40758252035595965
char_svd_6,0.4069416135635705
word_svd_12,0.4067619890657791
char_svd_55,0.4016603165042787
char_svd_3,0.39935515941258454
char_svd_82,0.39785272307147884
word_svd_18,0.3968769601364453
char_svd_145,0.38906864600464974
punct_ratio,0.3749628477867885
word_svd_42,0.359087883724222
word_svd_54,0.35472635285678467
char_svd_31,0.3518868549192248
char_svd_44,0.34692870512425467
word_svd_81,0.3438519012369376
char_svd_76,0.34368713371362375
char_svd_118,0.3386747058715487
has_strong_positive_phrase,0.3381064713347613
repeat_chars_per_word,0.3319907110476833
char_svd_111,0.3296264620284995
word_svd_58,0.3242990862723087
char_svd_136,0.323435793166016
char_svd_58,0.3107931164095651
char_svd_81,0.30901576510743517
char_svd_100,0.3064296089843941
char_svd_102,0.30498863792872877
word_svd_74,0.30441829462458553
word_svd_127,0.29670795844697345
word_svd_93,0.2935656319600451
word_svd_39,0.2897315409184297
char_svd_113,0.2895999752582425
word_svd_7,0.2879611077505458
word_svd_136,0.2846010788141608
char_svd_13,0.27275405951983356
char_svd_28,0.2722035302243193
word_svd_24,0.2709963998565419
char_svd_29,0.2665811987233831
char_svd_16,0.266220342994694
char_svd_39,0.26417680778433383
word_svd_9,0.2627295118829926
word_svd_158,0.2548061984485327
word_svd_41,0.2519804220836881
word_svd_120,0.2510716469419093
char_svd_41,0.24931679535109713
word_svd_27,0.24799164102721624
word_svd_98,0.24684557683952932
word_svd_49,0.24547388514472668
avg_sentence_len_words,0.2453068848967154
char_svd_73,0.2449582057910116
word_svd_62,0.2429740392035441
word_svd_14,0.2423071822192867
neg_words_per_word,0.23949112100187073
word_svd_0,0.2345746503557102
char_svd_147,0.23098250262145417
word_svd_33,0.22908931118788187
char_svd_9,0.22803942614567824
word_svd_61,0.22685755246532577
word_svd_184,0.22663338599259716
word_svd_76,0.2262612023888842
word_svd_153,0.22272732925536387
word_svd_168,0.2192662666188002
word_svd_166,0.21435580882974492
word_svd_119,0.20951936741889784
char_svd_140,0.20718616041640434
word_svd_179,0.20565266558354808
word_svd_139,0.20420888344189247
word_svd_97,0.20393978861753456
uppercase_ratio,0.20276137582570394
word_svd_159,0.20211089863254247
word_svd_178,0.20167539962990924
char_svd_47,0.20096575635600258
word_svd_4,0.19591971002616676
char_svd_115,0.1949192847347692
word_svd_107,0.19412832456584522
word_svd_72,0.19179650802938367
word_svd_126,0.1896550032381944
char_svd_138,0.18921684852840182
char_svd_57,0.1881142929508667
word_svd_195,0.18805120361395802
word_svd_82,0.18754347617021166
char_svd_77,0.18490756096271083
word_svd_29,0.18425583477683755
char_svd_84,0.1839570326242065
char_svd_108,0.1833400360610373
char_svd_67,0.1818598198587526
word_svd_84,0.18116044022892394
word_svd_47,0.17921182627950052
num_brackets,0.17803403514768415
word_svd_186,0.1777844712661292
word_svd_182,0.17624174899365397
word_svd_52,0.1725938754126964
has_good_quality,0.1708388593669725
word_svd_77,0.16969750710630369
word_svd_155,0.1696234333718763
word_svd_125,0.16928750969867506
char_svd_45,0.16652197332911237
word_svd_70,0.16599372962923006
char_svd_43,0.16592861140009446
char_svd_90,0.1656440052556851
word_svd_13,0.16406525780568146
word_svd_57,0.16393188076690712
word_svd_50,0.16329142483079065
word_svd_59,0.16097841710610028
word_svd_152,0.16034703603804273
char_svd_11,0.15985792966526674
word_svd_183,0.15926809594970368
word_svd_177,0.1592475879524507
word_svd_129,0.15919893470840346
word_svd_131,0.15654741728325
word_svd_192,0.15461300664480404
char_svd_141,0.15424317742812355
word_svd_105,0.1532657151538662
median_word_len,0.15225581736098093
has_ellipsis,0.15056066633731552
char_svd_59,0.14923522519815538
char_svd_130,0.1486017938216086
avg_word_len,0.1479641179325638
char_svd_10,0.14674140574673802
word_svd_55,0.1426668915518037
word_svd_124,0.1423432592177968
word_svd_96,0.14217857398118455
word_svd_121,0.14201321001806327
word_svd_94,0.14040078957479604
char_svd_68,0.13969431191350637
char_svd_75,0.13864197448652457
word_svd_138,0.1384599850461848
word_svd_176,0.13807294136622852
char_svd_64,0.1377444468914679
char_svd_133,0.13703005889220055
num_short_words,0.13634623286415426
avg_sentence_len_chars,0.1359762067656689
char_svd_86,0.1341254640147804
char_svd_65,0.13175048712868512
word_svd_162,0.13044248353271365
char_svd_17,0.13000753111685273
word_svd_167,0.1299241609591311
char_svd_114,0.1278759324039121
word_svd_115,0.12523791180939176
char_svd_137,0.12363242086880857
char_svd_61,0.12363077475357916
char_svd_146,0.12225909058046533
char_svd_38,0.12217294188962972
word_svd_164,0.12185660924139187
word_svd_156,0.12121974223238424
word_svd_145,0.12081686506710244
char_svd_128,0.1207991601605535
word_svd_157,0.11933574007040126
word_svd_191,0.11878346067825528
std_word_len,0.11850803528801375
char_svd_87,0.11727436600339146
char_svd_66,0.11668269117963799
char_svd_122,0.11609967591828081
word_svd_193,0.1159375590312887
questions_per_word,0.11491771084561841
word_svd_161,0.114703844711465
word_svd_144,0.11426537249973387
char_svd_105,0.11412180286272801
char_svd_63,0.11397010033325265
char_svd_83,0.11349147272283489
word_svd_63,0.11339259531695367
word_svd_16,0.11331325515370193
word_svd_19,0.1132908071061227
char_svd_79,0.11286056825088701
char_svd_37,0.11246147472510529
word_svd_46,0.11235107608741042
word_svd_26,0.11103386220435263
char_svd_95,0.11095898342715842
char_svd_62,0.11058310746255867
word_svd_10,0.1105314934342516
avg_exclaims_per_sentence,0.11032387182832679
char_svd_49,0.10989605076264118
char_svd_80,0.10905973593202875
word_svd_8,0.10904634647373733
word_svd_160,0.10740333750735553
char_svd_91,0.10696132232626393
word_svd_20,0.10613150396400799
word_svd_172,0.10550743639369199
char_svd_99,0.1052938941565336
char_svd_127,0.10525127443326605
word_svd_187,0.10524020735498203
char_svd_98,0.10503929477949148
word_svd_116,0.10469680465323167
char_svd_142,0.10454238913404258
char_svd_96,0.10414730116348625
char_svd_106,0.10404155064064842
word_svd_197,0.10394965304745689
char_svd_60,0.10375081003661596
word_svd_75,0.10056766405535253
word_svd_163,0.10046832150981279
char_svd_78,0.1002675049522379
char_svd_101,0.09938732297801062
char_svd_129,0.09918139386208596
word_svd_102,0.09632720497559678
word_svd_95,0.09583600853763426
char_svd_125,0.0956693582334158
word_svd_199,0.09564762296517104
char_svd_97,0.09497102364464827
char_svd_116,0.09459635620038881
word_svd_194,0.0944176201891129
word_svd_79,0.09366314277775493
word_svd_80,0.09090997202069302
word_svd_73,0.09032001438609054
word_svd_15,0.09004164537841013
char_svd_69,0.08961602968146595
char_svd_132,0.08895999513108474
word_svd_40,0.08809944739236969
word_svd_11,0.08658404438809642
num_spaces,0.08493085869800378
char_svd_110,0.08435631757089766
char_svd_0,0.0842726586713974
word_svd_109,0.08426436520416593
char_svd_103,0.08355721773446596
char_svd_126,0.08337607689397092
word_svd_133,0.08257893122989339
char_svd_40,0.08248240517376847
has_not_arrived,0.08242424624000368
word_svd_180,0.08159881964789972
space_ratio,0.08107535537661822
word_svd_112,0.08062201861412036
char_svd_26,0.07957504914723001
