feature,family,component_index,model_importance,explained_variance_ratio,top_positive_terms,top_positive_weights,top_negative_terms,top_negative_weights,description
word_svd_151,word_svd,151,0.0254733484924765,0.000843856314213351,запах | ткани | вернули деньги | рубашка | качество ткани | вернули | большое | футболка | слишком | жаль | есть | месяц | товар не пришел | класс | не торчат,0.203883 | 0.181125 | 0.163694 | 0.125587 | 0.123325 | 0.112922 | 0.112620 | 0.106027 | 0.105027 | 0.101842 | 0.098767 | 0.094159 | 0.087644 | 0.085155 | 0.084744,ужасно | отличные | xl | ужас | большой | за | ветер | на ветер | эти | пор | до сих | сих | до сих пор | сих пор | деньги на,-0.152622 | -0.125796 | -0.118112 | -0.117495 | -0.097593 | -0.089511 | -0.082287 | -0.082116 | -0.080366 | -0.080357 | -0.079119 | -0.079119 | -0.078886 | -0.078886 | -0.078331,positive side: запах | ткани | вернули деньги | рубашка | качество ткани | вернули | большое | футболка | слишком | жаль | есть | месяц | товар не пришел | класс | не торчат; negative side: ужасно | отличные | xl | ужас | большой | за | ветер | на ветер | эти | пор | до сих | сих | до сих пор | сих пор | деньги на
word_svd_152,word_svd,152,0.1603470360380427,0.0008403600175072355,просвечивает | ужасно | маломерит | месяц | слишком | через | большой | от | тонкий | приятная | дней | такой | он | отличные | хороший,0.279552 | 0.154389 | 0.145441 | 0.140218 | 0.140077 | 0.133066 | 0.122514 | 0.112912 | 0.105422 | 0.102376 | 0.098336 | 0.094144 | 0.092069 | 0.081265 | 0.076161,сильно | приятный | нормально | до | из | груди | xl | штаны | будет | большое | футболка | мала | телу | классная | рубашка,-0.162380 | -0.162186 | -0.139842 | -0.103709 | -0.102139 | -0.090188 | -0.090163 | -0.087746 | -0.086804 | -0.085843 | -0.085077 | -0.084746 | -0.081192 | -0.078919 | -0.074348,positive side: просвечивает | ужасно | маломерит | месяц | слишком | через | большой | от | тонкий | приятная | дней | такой | он | отличные | хороший; negative side: сильно | приятный | нормально | до | из | груди | xl | штаны | будет | большое | футболка | мала | телу | классная | рубашка
word_svd_153,word_svd,153,0.2227273292553638,0.0008348940584924125,ужас | слишком | нормально | маленькая | жаль | вернули деньги | запах | смотрится | очень жаль | 11 | сильно | отличные | заказывала | так | очень маленькая,0.351356 | 0.187330 | 0.167790 | 0.156125 | 0.153713 | 0.120986 | 0.110682 | 0.106430 | 0.106129 | 0.097851 | 0.086382 | 0.082392 | 0.081025 | 0.080885 | 0.080530,просвечивает | цвета | рубашка | куртка | просто | можно | большое | дней | ещё | идеально | большой | тонкие | xl | короткая | класс,-0.297143 | -0.131713 | -0.120763 | -0.106781 | -0.105636 | -0.100673 | -0.097293 | -0.096722 | -0.085899 | -0.084290 | -0.083272 | -0.082388 | -0.079894 | -0.079214 | -0.073328,positive side: ужас | слишком | нормально | маленькая | жаль | вернули деньги | запах | смотрится | очень жаль | 11 | сильно | отличные | заказывала | так | очень маленькая; negative side: просвечивает | цвета | рубашка | куртка | просто | можно | большое | дней | ещё | идеально | большой | тонкие | xl | короткая | класс
word_svd_154,word_svd,154,0.0400447969767452,0.0008313346345225454,ужас | смотрится | блузка | ткани | xl | качество ткани | классная | не торчат | нитки не | нитки не торчат | посылка | ужасно | ок | дней | выглядит,0.314099 | 0.225510 | 0.205363 | 0.195243 | 0.176155 | 0.142971 | 0.107967 | 0.099220 | 0.098491 | 0.098076 | 0.091573 | 0.084611 | 0.084052 | 0.082703 | 0.078066,просто | футболка | маленькая | хорошее качество | слишком | он | маломерит | мягкая | доставка быстрая | большое | чуть | уже | за | 48 | жаль,-0.139511 | -0.137737 | -0.136285 | -0.128246 | -0.124986 | -0.115709 | -0.102609 | -0.096456 | -0.088202 | -0.082829 | -0.082693 | -0.081912 | -0.070506 | -0.069349 | -0.068252,positive side: ужас | смотрится | блузка | ткани | xl | качество ткани | классная | не торчат | нитки не | нитки не торчат | посылка | ужасно | ок | дней | выглядит; negative side: просто | футболка | маленькая | хорошее качество | слишком | он | маломерит | мягкая | доставка быстрая | большое | чуть | уже | за | 48 | жаль
word_svd_155,word_svd,155,0.1696234333718763,0.0008270244021816088,ужасно | такой | не такой | выглядит | такой как | не такой как | такой как на | немного | сильно | же | xl | смотрится | цвет не такой | рубашка | лучше,0.303321 | 0.283378 | 0.205752 | 0.184565 | 0.153145 | 0.147155 | 0.136664 | 0.130931 | 0.128354 | 0.125975 | 0.118654 | 0.111554 | 0.082817 | 0.082254 | 0.076578,просвечивает | ужас | маломерит | ткани | блузка | красивая | цвет | запах | качество ткани | бы | большой | большое | все как | рукава | возвращать,-0.206614 | -0.138959 | -0.125153 | -0.114059 | -0.113120 | -0.096846 | -0.094118 | -0.090427 | -0.086283 | -0.079697 | -0.075478 | -0.075352 | -0.070257 | -0.069747 | -0.069404,positive side: ужасно | такой | не такой | выглядит | такой как | не такой как | такой как на | немного | сильно | же | xl | смотрится | цвет не такой | рубашка | лучше; negative side: просвечивает | ужас | маломерит | ткани | блузка | красивая | цвет | запах | качество ткани | бы | большой | большое | все как | рукава | возвращать
word_svd_156,word_svd,156,0.1212197422323842,0.0008197915731884311,блузка | свой | на свой | красивая | вернули деньги | дней | отличный | хорошее качество | хорошее | отличное | плохое | кофточка | из | нет | свитер,0.313164 | 0.189096 | 0.166846 | 0.164630 | 0.127212 | 0.102973 | 0.085663 | 0.085381 | 0.084591 | 0.084542 | 0.082420 | 0.082333 | 0.079653 | 0.077578 | 0.072812,нормально | месяц | жаль | 11 | рубашка | очень жаль | качество | куртка | подошло | просвечивает | было | не торчат | нитки не | нитки не торчат | ужасно,-0.306391 | -0.155859 | -0.148106 | -0.141462 | -0.141201 | -0.109904 | -0.106848 | -0.086225 | -0.084584 | -0.083899 | -0.081972 | -0.081743 | -0.081411 | -0.079924 | -0.078491,positive side: блузка | свой | на свой | красивая | вернули деньги | дней | отличный | хорошее качество | хорошее | отличное | плохое | кофточка | из | нет | свитер; negative side: нормально | месяц | жаль | 11 | рубашка | очень жаль | качество | куртка | подошло | просвечивает | было | не торчат | нитки не | нитки не торчат | ужасно
word_svd_157,word_svd,157,0.1193357400704012,0.0008188613731448651,просвечивает | будет | ужасно | до | слишком | думала | тонкий | качество не | подарок | меньше | вернули деньги | заказ не пришел | ужасный | товар не пришёл | от,0.256196 | 0.144235 | 0.131771 | 0.108813 | 0.103886 | 0.103313 | 0.093291 | 0.089591 | 0.080317 | 0.079678 | 0.075985 | 0.074541 | 0.070488 | 0.069349 | 0.068569,месяц | через | не очень | но деньги | но деньги вернули | штаны | немного | большой | приятный | сильно | блузка | доставка месяц | доставка | ткани | цвета,-0.230294 | -0.136593 | -0.121391 | -0.112536 | -0.107558 | -0.107136 | -0.104337 | -0.097444 | -0.095163 | -0.094256 | -0.089296 | -0.088872 | -0.084865 | -0.078661 | -0.077346,positive side: просвечивает | будет | ужасно | до | слишком | думала | тонкий | качество не | подарок | меньше | вернули деньги | заказ не пришел | ужасный | товар не пришёл | от; negative side: месяц | через | не очень | но деньги | но деньги вернули | штаны | немного | большой | приятный | сильно | блузка | доставка месяц | доставка | ткани | цвета
word_svd_158,word_svd,158,0.2548061984485327,0.0008161277992237545,большой | прислали | ожидала | будет | мала | оказалась | вернули деньги | месяц | xl | такой | описании | короткие | большое | думала | лучше,0.249432 | 0.200149 | 0.163768 | 0.156445 | 0.138548 | 0.126150 | 0.122110 | 0.118998 | 0.113159 | 0.106673 | 0.104862 | 0.097669 | 0.097136 | 0.095327 | 0.094865,оказался | мал | свой | не торчат | из | нитки не | нитки не торчат | куртка | на свой | оказался мал | рукава | просвечивает | размер оказался | спасибо | слишком,-0.204775 | -0.204143 | -0.128280 | -0.118804 | -0.118263 | -0.116376 | -0.116142 | -0.113935 | -0.108558 | -0.099544 | -0.086244 | -0.079012 | -0.078131 | -0.071061 | -0.069595,positive side: большой | прислали | ожидала | будет | мала | оказалась | вернули деньги | месяц | xl | такой | описании | короткие | большое | думала | лучше; negative side: оказался | мал | свой | не торчат | из | нитки не | нитки не торчат | куртка | на свой | оказался мал | рукава | просвечивает | размер оказался | спасибо | слишком
word_svd_159,word_svd,159,0.2021108986325424,0.0008127975328877032,нормально | будет | ещё | дней | оказался | думала | свой | отличные | цвета | жаль | мал | он | на свой | размером | заказ не пришел,0.283738 | 0.188364 | 0.141503 | 0.137828 | 0.135293 | 0.134384 | 0.107599 | 0.105416 | 0.105375 | 0.098155 | 0.095615 | 0.094256 | 0.092080 | 0.078247 | 0.075164,описании | 11 | как описании | бы | большой | ужасно | слишком | классная | пришла | не торчат | нитки не | нитки не торчат | все как | см | рубашка,-0.159008 | -0.127912 | -0.120767 | -0.099852 | -0.095858 | -0.090582 | -0.089690 | -0.082307 | -0.081241 | -0.079556 | -0.078842 | -0.078588 | -0.077437 | -0.076563 | -0.075750,positive side: нормально | будет | ещё | дней | оказался | думала | свой | отличные | цвета | жаль | мал | он | на свой | размером | заказ не пришел; negative side: описании | 11 | как описании | бы | большой | ужасно | слишком | классная | пришла | не торчат | нитки не | нитки не торчат | все как | см | рубашка
word_svd_160,word_svd,160,0.1074033375073555,0.00080701434348028,просвечивает | ужас | оказался | вернули деньги | мал | месяц | было | будет | груди | вернули | сожалению | не очень | продавец | меня | ждала,0.228559 | 0.194994 | 0.169200 | 0.156383 | 0.149216 | 0.109712 | 0.101181 | 0.099944 | 0.099481 | 0.096511 | 0.090086 | 0.087585 | 0.087287 | 0.086858 | 0.082700,прислали | меньше | свой | слишком | возвращать | посылка | на свой | класс | бы | на размер | хотел | не хотел | возвращать деньги | сильно | продавец не,-0.174581 | -0.121029 | -0.119435 | -0.113263 | -0.111102 | -0.110944 | -0.105594 | -0.097556 | -0.093155 | -0.092479 | -0.087920 | -0.086868 | -0.085659 | -0.083972 | -0.080369,positive side: просвечивает | ужас | оказался | вернули деньги | мал | месяц | было | будет | груди | вернули | сожалению | не очень | продавец | меня | ждала; negative side: прислали | меньше | свой | слишком | возвращать | посылка | на свой | класс | бы | на размер | хотел | не хотел | возвращать деньги | сильно | продавец не
