feature,baseline_macro_f1,importance_mean,importance_std,score_after_permutation_mean
word_svd_3,0.7286912420730359,0.012977402599046228,0.001871459495316932,0.7157138394739897
char_svd_1,0.7286912420730359,0.011243848953847512,0.0035562425889986674,0.7174473931191884
char_svd_4,0.7286912420730359,0.009872499285629366,0.0023626734597377136,0.7188187427874065
pos_neg_top_diff,0.7286912420730359,0.00888767666817587,0.004068279954227886,0.71980356540486
char_svd_8,0.7286912420730359,0.0066014762060475855,0.0027428555968835823,0.7220897658669884
word_svd_22,0.7286912420730359,0.0046922167797520675,0.0029677800187527244,0.7239990252932839
word_svd_101,0.7286912420730359,0.004433068657342587,0.0011816536850858144,0.7242581734156933
word_svd_120,0.7286912420730359,0.003921952492840464,0.0009586071125984101,0.7247692895801955
word_svd_6,0.7286912420730359,0.0038039908933778844,0.0022385117990170547,0.724887251179658
char_svd_35,0.7286912420730359,0.003780311037071704,0.001476550571989057,0.7249109310359643
num_chars,0.7286912420730359,0.0037483062690646164,0.003140086291002093,0.7249429358039713
word_svd_25,0.7286912420730359,0.0036104605178106874,0.0021614213292536254,0.7250807815552253
word_svd_36,0.7286912420730359,0.0036070501911885655,0.0018083431144829297,0.7250841918818474
word_svd_67,0.7286912420730359,0.003575118561992574,0.0021509326337936056,0.7251161235110434
word_svd_17,0.7286912420730359,0.0035400121236518257,0.0015588481911324968,0.7251512299493841
num_negations,0.7286912420730359,0.003371152705839808,0.0026546389882099205,0.7253200893671962
char_svd_115,0.7286912420730359,0.0033669258074800813,0.0007092115739065125,0.7253243162655558
exclaims_per_word,0.7286912420730359,0.003356445637542738,0.0015074406197002875,0.7253347964354931
char_svd_25,0.7286912420730359,0.0033555898045495524,0.0009262211904616771,0.7253356522684864
word_svd_190,0.7286912420730359,0.003283092451365088,0.001552948849485759,0.7254081496216709
punct_per_word,0.7286912420730359,0.003272676426394061,0.0008395905745789713,0.7254185656466419
char_svd_15,0.7286912420730359,0.003173760038063489,0.0007674513599096709,0.7255174820349725
char_svd_33,0.7286912420730359,0.0030230336162913483,0.0021194391317736257,0.7256682084567446
char_svd_109,0.7286912420730359,0.002986227415935594,0.0012851891203732113,0.7257050146571004
char_svd_136,0.7286912420730359,0.0028844379749881854,0.0011986744472023087,0.7258068040980478
word_svd_191,0.7286912420730359,0.0028457306547287732,0.0006197072779165631,0.7258455114183071
char_svd_97,0.7286912420730359,0.00284244062507919,0.0008467863483917493,0.7258488014479567
char_svd_5,0.7286912420730359,0.0028422360137608793,0.0014044232548520328,0.725849006059275
word_svd_34,0.7286912420730359,0.0028361943232476207,0.001495468115134435,0.7258550477497883
word_svd_163,0.7286912420730359,0.002787432699225589,0.0005594538456654297,0.7259038093738104
char_svd_13,0.7286912420730359,0.0027608848594666835,0.0014731655979900412,0.7259303572135692
word_svd_158,0.7286912420730359,0.002706672981764191,0.0009752428013673145,0.7259845690912717
word_svd_20,0.7286912420730359,0.0026018592257360806,0.0007016031083131516,0.7260893828472998
word_svd_105,0.7286912420730359,0.0025997633189893234,0.0005615650378708959,0.7260914787540466
word_svd_14,0.7286912420730359,0.0025879760972769895,0.0016236712471499382,0.7261032659757589
char_svd_3,0.7286912420730359,0.0025849888843090694,0.0011833131225056103,0.7261062531887269
char_svd_7,0.7286912420730359,0.002584087056013873,0.0017715218351565358,0.726107155017022
char_svd_146,0.7286912420730359,0.002515414682301853,0.0010293594234159053,0.726175827390734
char_svd_118,0.7286912420730359,0.0025078097490424554,0.0005944762116011571,0.7261834323239935
char_svd_76,0.7286912420730359,0.0025072864365717207,0.0008850306548974526,0.7261839556364642
word_svd_58,0.7286912420730359,0.0024956411381578335,0.0004169442054779308,0.7261956009348781
char_svd_12,0.7286912420730359,0.0024509595404950124,0.0019049441365646001,0.7262402825325409
punct_ratio,0.7286912420730359,0.0024059502896932815,0.0009295554214471703,0.7262852917833427
word_svd_73,0.7286912420730359,0.002374295278596894,0.0006679819294296273,0.726316946794439
word_svd_136,0.7286912420730359,0.002354392407128292,0.000871380662031624,0.7263368496659076
class_1_top_match_ratio,0.7286912420730359,0.0023271157287461986,0.0009328923902249969,0.7263641263442897
word_svd_2,0.7286912420730359,0.002325043759547607,0.0010198052617488005,0.7263661983134884
word_svd_5,0.7286912420730359,0.0023046711735146943,0.0008242786262543071,0.7263865708995212
word_svd_41,0.7286912420730359,0.0022853649752402117,0.0012252650662613162,0.7264058770977957
word_svd_183,0.7286912420730359,0.002246076737593472,0.0005124277431123085,0.7264451653354425
word_svd_27,0.7286912420730359,0.0022338233481437263,0.0006358833483228494,0.7264574187248922
char_svd_89,0.7286912420730359,0.0022226932532790843,0.0002404045607498607,0.7264685488197569
char_svd_63,0.7286912420730359,0.0022144203132901997,0.00047211427780874236,0.7264768217597457
word_svd_81,0.7286912420730359,0.0022132338614453627,0.0007950475207004888,0.7264780082115906
char_svd_81,0.7286912420730359,0.0022121762978552393,0.0007377326958463394,0.7264790657751807
word_svd_199,0.7286912420730359,0.0022086609596811747,0.00027510429491811855,0.7264825811133547
char_svd_71,0.7286912420730359,0.0021326112728248026,0.0006958812553219372,0.7265586308002111
word_svd_129,0.7286912420730359,0.0021162015967411294,0.000998286626163553,0.7265750404762948
char_svd_56,0.7286912420730359,0.0021109935155927627,0.0015826822806048952,0.7265802485574432
char_svd_21,0.7286912420730359,0.002096079303953213,0.0006128052897543507,0.7265951627690828
char_svd_34,0.7286912420730359,0.0020736402712520975,0.0018622125641656192,0.7266176018017838
word_svd_159,0.7286912420730359,0.0020732852946451,0.0008656738312348202,0.7266179567783908
char_svd_2,0.7286912420730359,0.002055534201970355,0.0011358043457598964,0.7266357078710656
word_svd_44,0.7286912420730359,0.0020408975511923,0.0008062401711477703,0.7266503445218436
char_svd_111,0.7286912420730359,0.0020301080845517294,0.0006243927923781028,0.7266611339884842
word_svd_164,0.7286912420730359,0.0020269193125161955,0.0009530198995083285,0.7266643227605197
word_svd_173,0.7286912420730359,0.0020225825766950535,0.00055879822075589,0.7266686594963409
word_svd_11,0.7286912420730359,0.002015267430515233,0.000556319830785442,0.7266759746425207
word_svd_160,0.7286912420730359,0.0019940886060645147,0.0005608442599546957,0.7266971534669714
char_svd_108,0.7286912420730359,0.0019582947860673936,0.0011602576248927023,0.7267329472869686
char_svd_29,0.7286912420730359,0.001938597624419347,0.0010656565874032117,0.7267526444486165
word_svd_197,0.7286912420730359,0.001934727924624724,0.0007370813859503226,0.7267565141484112
word_svd_52,0.7286912420730359,0.0019319763480005968,0.0010000779874280784,0.7267592657250354
word_svd_172,0.7286912420730359,0.001928261647426832,0.000835283041208224,0.726762980425609
word_svd_182,0.7286912420730359,0.0019151720346084033,0.0009176083945254935,0.7267760700384275
char_svd_43,0.7286912420730359,0.0019088389969968756,0.000827718528130617,0.726782403076039
word_svd_9,0.7286912420730359,0.0019030673446968072,0.0008109858834671967,0.7267881747283391
char_svd_19,0.7286912420730359,0.0018936755652921634,0.000652141458861505,0.7267975665077437
word_svd_32,0.7286912420730359,0.0018896605425902768,0.0004096836407750419,0.7268015815304456
word_svd_33,0.7286912420730359,0.0018824798114292385,0.0013101382100144535,0.7268087622616067
word_svd_31,0.7286912420730359,0.0018787610702923896,0.0017855613203907324,0.7268124810027435
word_svd_162,0.7286912420730359,0.001869060366761799,0.0004912739376251679,0.7268221817062741
has_not_recommend,0.7286912420730359,0.0018667017376149842,0.00013558631892700163,0.726824540335421
word_svd_77,0.7286912420730359,0.0018586709674204061,0.0006293243068722785,0.7268325711056155
word_svd_179,0.7286912420730359,0.0018441150330670952,0.0005251665761244157,0.7268471270399688
word_svd_74,0.7286912420730359,0.0018216815105992934,0.0009685533663772543,0.7268695605624367
char_svd_83,0.7286912420730359,0.001815898967754781,0.0005400859540728411,0.7268753431052811
word_svd_137,0.7286912420730359,0.0018144522198501045,0.000560874393074085,0.7268767898531858
word_svd_87,0.7286912420730359,0.001810546117548628,0.0007617486163363036,0.7268806959554873
char_svd_102,0.7286912420730359,0.0017981898642430937,0.0010710995493159472,0.7268930522087929
word_svd_184,0.7286912420730359,0.0017899939966589118,0.0003716436659339446,0.726901248076377
num_short_words,0.7286912420730359,0.001757586378344511,0.0012099376844661865,0.7269336556946914
word_svd_153,0.7286912420730359,0.001756504990543295,0.000751112722571773,0.7269347370824927
word_svd_122,0.7286912420730359,0.0017516361523108204,0.0004274100368247529,0.7269396059207252
char_svd_64,0.7286912420730359,0.0017403404653145937,0.0011933855415023123,0.7269509016077214
word_svd_124,0.7286912420730359,0.0017285619416187669,0.0006077234266006578,0.7269626801314172
word_svd_95,0.7286912420730359,0.0017239353282722414,0.0004469872046751135,0.7269673067447637
median_word_len,0.7286912420730359,0.0017134809269863326,0.0006909420300833821,0.7269777611460496
word_svd_70,0.7286912420730359,0.0017037929742956149,0.00034991949970035637,0.7269874490987404
word_svd_125,0.7286912420730359,0.001686204257200985,0.0011759587582985322,0.7270050378158349
char_svd_66,0.7286912420730359,0.0016821628018256485,0.000880425109320527,0.7270090792712103
word_svd_89,0.7286912420730359,0.0016805229667124833,0.0004998645661061128,0.7270107191063234
word_svd_4,0.7286912420730359,0.0016412487025027512,0.0010875541563090969,0.7270499933705332
word_svd_192,0.7286912420730359,0.0016337034594859023,0.0004098792217003045,0.72705753861355
std_word_len,0.7286912420730359,0.0016177419779104252,0.0003456482177223066,0.7270735000951255
char_svd_128,0.7286912420730359,0.001614721663317109,0.0007681653036202543,0.7270765204097188
num_words_raw,0.7286912420730359,0.0016049486822268034,0.0005652133727366036,0.7270862933908091
word_svd_178,0.7286912420730359,0.0015988151294185071,0.0008857744789561711,0.7270924269436174
word_svd_176,0.7286912420730359,0.001594977272174436,0.0011756741839433202,0.7270962648008615
char_svd_96,0.7286912420730359,0.0015774129257998038,0.0008787792120559914,0.7271138291472361
char_svd_149,0.7286912420730359,0.0015739125902192396,0.00024464630895991267,0.7271173294828167
word_svd_76,0.7286912420730359,0.0015618077413550812,0.0009620281197502143,0.7271294343316809
word_svd_16,0.7286912420730359,0.00156114587753724,0.0012328814045255313,0.7271300961954987
word_svd_55,0.7286912420730359,0.00155691739687982,0.0010273513406521188,0.7271343246761561
char_svd_23,0.7286912420730359,0.0015507543657830246,0.0003359601021124691,0.7271404877072529
char_svd_9,0.7286912420730359,0.001508929184619201,0.0010123304694648575,0.7271823128884167
word_svd_145,0.7286912420730359,0.0015051448403860413,0.0003791597043765147,0.7271860972326499
word_svd_185,0.7286912420730359,0.0014864012524810732,0.00026596943556011295,0.7272048408205548
word_svd_39,0.7286912420730359,0.0014829436683765796,0.0012237537160401948,0.7272082984046594
repeat_chars_per_word,0.7286912420730359,0.0014791654788817831,0.0006230109410082411,0.7272120765941541
word_svd_12,0.7286912420730359,0.0014769274134892375,0.0015472744574123877,0.7272143146595467
word_svd_84,0.7286912420730359,0.001475676228459899,0.0007350264996646655,0.727215565844576
char_svd_116,0.7286912420730359,0.0014717584091001434,0.0006905129218990082,0.7272194836639357
word_svd_169,0.7286912420730359,0.0014697128006054606,0.0007217753381824347,0.7272215292724304
char_svd_140,0.7286912420730359,0.0014676504923828216,0.0007477886301481867,0.7272235915806531
word_svd_170,0.7286912420730359,0.001450398173567047,0.00040980505707686267,0.7272408438994689
word_svd_126,0.7286912420730359,0.0014460245747440093,0.0004470244243059494,0.727245217498292
char_svd_67,0.7286912420730359,0.0014441249454586913,0.0004439837463118637,0.7272471171275773
word_svd_7,0.7286912420730359,0.0014408637705702887,0.0005821450966583436,0.7272503783024656
num_punct,0.7286912420730359,0.0014406988739532832,0.0003759276229261721,0.7272505431990827
word_svd_71,0.7286912420730359,0.0014287602351587658,0.000520875853976564,0.7272624818378771
char_svd_73,0.7286912420730359,0.0014272051640842553,0.0005070888601731509,0.7272640369089517
avg_sentence_len_chars,0.7286912420730359,0.0014235199363098916,0.00040379094967734404,0.7272677221367261
word_svd_100,0.7286912420730359,0.001422547466523949,0.0002416380349175036,0.727268694606512
has_ellipsis,0.7286912420730359,0.0014164769124364706,0.00035371865616764836,0.7272747651605994
word_svd_139,0.7286912420730359,0.0014117655159869846,0.00036432628551173475,0.7272794765570489
char_svd_18,0.7286912420730359,0.0014068068360597818,0.0004313620180315654,0.7272844352369762
char_svd_53,0.7286912420730359,0.0013973784121316113,0.0006957630929135891,0.7272938636609043
avg_exclaims_per_sentence,0.7286912420730359,0.0013945863254911871,0.0012439793670397045,0.7272966557475448
word_svd_82,0.7286912420730359,0.0013918577596361726,0.000741691013499824,0.7272993843133998
word_svd_121,0.7286912420730359,0.0013753973074268843,0.000792264084074798,0.7273158447656091
char_svd_132,0.7286912420730359,0.0013684931938029222,0.0004053127321719705,0.727322748879233
word_svd_107,0.7286912420730359,0.001366803871211708,0.0008139057855411398,0.7273244382018242
char_svd_137,0.7286912420730359,0.0013652218686103445,0.0004399662197651281,0.7273260202044256
word_svd_19,0.7286912420730359,0.0013579419603886756,0.0006128731024370604,0.7273333001126473
char_svd_117,0.7286912420730359,0.0013564098863191765,0.0010461061173526551,0.7273348321867168
word_svd_198,0.7286912420730359,0.001351222903006022,0.0004834800553652854,0.7273400191700299
char_svd_28,0.7286912420730359,0.001343094714978177,0.0012372908498723078,0.7273481473580578
digit_ratio,0.7286912420730359,0.0013275081737412764,0.0009421438728566619,0.7273637338992947
word_svd_103,0.7286912420730359,0.00131877707026109,0.0006691177760071355,0.7273724650027749
word_svd_131,0.7286912420730359,0.0013173330742296762,0.0008939053046237194,0.7273739089988063
word_svd_65,0.7286912420730359,0.0013022129575148034,0.00024093657697889538,0.7273890291155212
word_svd_188,0.7286912420730359,0.0012989925213938269,0.0008281647206483964,0.7273922495516421
word_svd_1,0.7286912420730359,0.0012913148594287049,0.0012685008055798865,0.7273999272136072
word_svd_86,0.7286912420730359,0.0012835074285333814,0.00039424801490705854,0.7274077346445026
word_svd_38,0.7286912420730359,0.0012834986099916844,0.0005644229613736039,0.7274077434630443
word_svd_114,0.7286912420730359,0.00128323561369299,0.0005903547777387242,0.7274080064593429
word_svd_56,0.7286912420730359,0.0012751522798780223,0.00034917000395935893,0.7274160897931579
word_svd_57,0.7286912420730359,0.0012742037266194385,0.0009663635042579428,0.7274170383464165
word_svd_43,0.7286912420730359,0.0012644111255360134,0.0007410369519172605,0.7274268309474999
char_svd_113,0.7286912420730359,0.0012591027748508842,0.0007928327042171763,0.7274321392981851
char_svd_80,0.7286912420730359,0.001254705677479273,0.0004819314244302406,0.7274365363955566
char_svd_119,0.7286912420730359,0.0012497765255176762,0.00043741079636473533,0.7274414655475182
unique_ratio,0.7286912420730359,0.0012199197108301529,0.0003840404862978925,0.7274713223622058
word_svd_150,0.7286912420730359,0.001217577770639644,0.0004996008610799222,0.7274736643023962
char_svd_104,0.7286912420730359,0.001215055007457555,0.0006141488562580206,0.7274761870655784
char_svd_138,0.7286912420730359,0.0012102863180643909,0.00094856307364557,0.7274809557549715
char_svd_70,0.7286912420730359,0.00120446792637956,0.0005562986065161769,0.7274867741466564
word_svd_63,0.7286912420730359,0.0011969064412059582,0.00047157756529859584,0.72749433563183
char_svd_77,0.7286912420730359,0.001191240997874199,0.0009411144566333472,0.7275000010751618
char_svd_112,0.7286912420730359,0.0011887470059303018,0.0006682111597337336,0.7275024950671056
word_svd_13,0.7286912420730359,0.0011878490719140933,0.0004431036195069243,0.7275033930011219
word_svd_28,0.7286912420730359,0.001187154901139942,0.0006746214248189074,0.727504087171896
avg_punct_per_sentence,0.7286912420730359,0.0011810689598276136,0.0009475483108336265,0.7275101731132083
word_svd_69,0.7286912420730359,0.001176159523281739,0.0005466344633306428,0.7275150825497542
has_strong_positive_phrase,0.7286912420730359,0.001173086207416163,0.0008090260979772489,0.7275181558656197
word_svd_15,0.7286912420730359,0.0011499447223599856,0.0007997548945926145,0.727541297350676
char_svd_93,0.7286912420730359,0.0011251842453073868,0.00039969119290096054,0.7275660578277285
word_svd_112,0.7286912420730359,0.0011215221465748603,0.00037251504321492596,0.727569719926461
char_svd_87,0.7286912420730359,0.0011188119138371589,0.0006255588391187257,0.7275724301591988
word_svd_143,0.7286912420730359,0.0011123764607872122,0.0006850181924234822,0.7275788656122487
word_svd_195,0.7286912420730359,0.0011071434771474653,0.0012958334370307102,0.7275840985958885
char_svd_45,0.7286912420730359,0.0011042644180865092,0.00032056047645419484,0.7275869776549494
char_svd_126,0.7286912420730359,0.0011001963209476217,0.00045723131629927985,0.7275910457520883
char_svd_91,0.7286912420730359,0.0010969200194067108,0.0006958118148946991,0.7275943220536292
char_svd_48,0.7286912420730359,0.0010968727024574631,0.0005513979849195536,0.7275943693705784
char_svd_14,0.7286912420730359,0.0010955966833629427,0.0013458117538504841,0.727595645389673
char_svd_90,0.7286912420730359,0.001095221612653785,0.0006793586333306843,0.7275960204603822
char_svd_55,0.7286912420730359,0.001093926384991639,0.0008537838553034106,0.7275973156880443
char_svd_27,0.7286912420730359,0.0010915474137130677,0.00042764399441696475,0.7275996946593228
class_0_top_match_ratio,0.7286912420730359,0.0010890285626551145,0.0003743841876004243,0.7276022135103808
word_svd_117,0.7286912420730359,0.0010836813375384225,0.0006124932616232099,0.7276075607354975
char_svd_68,0.7286912420730359,0.0010782106803290282,0.0005408507235334694,0.7276130313927069
char_svd_69,0.7286912420730359,0.001078208151377047,0.0003128357327898863,0.7276130339216589
word_svd_116,0.7286912420730359,0.0010690277730773135,0.0003420174724410358,0.7276222142999587
char_svd_133,0.7286912420730359,0.0010455264754626326,0.0008852048396278316,0.7276457155975733
char_svd_106,0.7286912420730359,0.0010379330231552243,0.0006099275353614328,0.7276533090498807
word_svd_66,0.7286912420730359,0.0010371498036074068,0.0008442214023888172,0.7276540922694286
char_svd_44,0.7286912420730359,0.0010326875897206157,0.0007038595069584431,0.7276585544833153
avg_sentence_len_words,0.7286912420730359,0.0010316654692104298,0.000599245299758213,0.7276595766038255
char_svd_37,0.7286912420730359,0.0010280435120860298,0.0006421791059961637,0.7276631985609499
word_svd_40,0.7286912420730359,0.0010267127806339537,0.0004930986674830248,0.727664529292402
char_svd_47,0.7286912420730359,0.0010261066607890612,0.0008619998349188245,0.7276651354122469
uppercase_ratio,0.7286912420730359,0.0010186652775298732,0.0008218862427164618,0.727672576795506
word_svd_48,0.7286912420730359,0.0010140871789561245,0.0005564447194778964,0.7276771548940798
word_svd_49,0.7286912420730359,0.0010122120182050054,0.0006463645060449532,0.7276790300548309
word_svd_50,0.7286912420730359,0.001009755655103617,0.0009070312413242789,0.7276814864179323
word_svd_115,0.7286912420730359,0.0010062502420234765,0.0007721770776612296,0.7276849918310124
word_svd_8,0.7286912420730359,0.0010047588940073516,0.00033300718186440675,0.7276864831790286
char_svd_38,0.7286912420730359,0.0010019170137612887,0.0006525334045746501,0.7276893250592746
