model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr_macro,pr_auc_macro,fit_seconds
XGBoost_full_refit,0.7400555555555556,0.745024291038773,0.7400555555555556,0.7418354941324047,0.8932233333333334,0.805636196574449,211.74707317352295
Boosting_soft_vote_full_refit,0.7395555555555555,0.7446722533959762,0.7395555555555555,0.7413315587280578,0.8947640324074074,0.8082853077118951,0.0
LightGBM_full_refit,0.7381111111111112,0.7432648456005403,0.738111111111111,0.739951770300797,0.8938024444444445,0.8069913221249435,67.99711656570435
CatBoost_full_refit,0.7341666666666666,0.7385095309953855,0.7341666666666667,0.7356723910034209,0.8916529259259259,0.8024170540958196,105.66657423973083
