feature,mean_abs_shap
word_svd_3,0.2866945750762921
pos_neg_top_diff,0.2695380025002429
num_negations,0.25717732091350687
char_svd_1,0.19304727759992102
char_svd_4,0.17881504396413336
word_svd_22,0.16042797361559374
char_svd_8,0.1494869776094935
word_svd_6,0.13916655269473316
word_svd_1,0.10586752535616735
char_svd_5,0.08914288893627487
word_svd_35,0.07730063264024115
char_svd_34,0.07716670881679914
word_svd_5,0.07675550671909379
char_svd_2,0.0740362399032843
word_svd_78,0.07138709858199567
char_svd_15,0.07092965660999086
word_svd_190,0.06932043910048477
sentiment_lexicon_diff,0.0646339276492847
word_svd_30,0.06083087289309327
digit_ratio,0.05901686091108224
word_svd_2,0.0574724575814079
lexicon_balance_ratio,0.05302674023229318
num_chars,0.05139585791750606
unique_ratio,0.05090527043417533
punct_per_word,0.04930179647775913
word_svd_196,0.04758962190950186
word_svd_122,0.04671508298726366
char_svd_14,0.04595730203326697
char_svd_25,0.04591065441939697
word_svd_101,0.044870868711167855
word_svd_67,0.04343213287777756
word_svd_31,0.042474126607536515
char_svd_109,0.04210660493589353
word_svd_81,0.04098128278092174
word_svd_58,0.040482077688775486
exclaims_per_word,0.039598941023067095
char_svd_33,0.03897308487593563
char_svd_21,0.03766498477367113
word_svd_42,0.036869328864529066
char_svd_82,0.03642028450531927
char_svd_118,0.03475592487731373
char_svd_12,0.034480779894931646
word_svd_53,0.03417586533653394
char_svd_76,0.034150651746577436
has_not_recommend,0.033828423767916754
punct_ratio,0.033678028429575985
word_svd_37,0.033530972817409
word_svd_25,0.03351736335245642
char_svd_35,0.0334282472069717
char_svd_6,0.033407562817920455
word_svd_36,0.032955346310308976
char_svd_56,0.0326538629265794
char_svd_7,0.03198713146441579
char_svd_3,0.03197875560449193
pos_words_per_word,0.03159231199922653
char_svd_81,0.03155101099850122
char_svd_111,0.03132835425505132
word_svd_93,0.030413641825954543
char_svd_100,0.02844841749639319
word_svd_39,0.028336170248034812
char_svd_44,0.02794125578161239
repeat_chars_per_word,0.02761367839654927
char_svd_54,0.027468142684444936
word_svd_34,0.02715558342324116
word_svd_120,0.027039902089958802
word_svd_7,0.026901937130844402
word_svd_98,0.026885988241244663
word_svd_153,0.02631118985153801
char_svd_73,0.025602226195337054
char_svd_28,0.025587807418596408
word_svd_136,0.024793710794730656
