model,f1_macro,ci_low,ci_high
LogReg,0.7415797506775074,0.7353636676635443,0.7473056254826309
LightGBM,0.7377506682463167,0.7311908823977019,0.7444562588926745
XGBoost,0.736881628699205,0.7307151067111192,0.7429525423544246
CatBoost,0.7341711623266729,0.7280067840321126,0.7404926064085599
