,score
accuracy,0.7357777777777778
precision_macro,0.741329373997578
precision_weighted,0.7413293739975779
recall_macro,0.7357777777777778
recall_weighted,0.7357777777777778
f1_macro,0.7377506682463167
f1_weighted,0.7377506682463169
roc_auc_ovr_macro,0.8924570833333334
roc_auc_ovr_weighted,0.8924570833333333
pr_auc_macro,0.8047452766201943
pr_auc_weighted,0.8047452766201943
